name,prompt,negative_prompt
老司机必选底版[二选一],"beautiful, masterpiece, best quality, extremely detailed face, perfect lighting,  ((skinny)), ((puffy eyes)),brown hair,medium hair,cowboy shot,medium breasts, swept bangs,walking,outdoors,sunshine,light_rays,fantasy,blurry_foreground,rococo,street,crowd,hair_flower,low tied hair, smile,half-closed eyes, ,dating, (heavy breathing:1.5) ,tears, crying, blush, wet, sweat,nsfw,nude,(sex:1.4),porn","paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot,(ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.331), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), bad hands, missing fingers, extra digit, bad body,pubic"
唯美欣赏[二选一],"(8k, best quality, masterpiece:1.2), (realistic, photo-realistic:1.37), ultra-detailed, 1 girl, cute, beautiful detailed sky, dating, (nose blush), (smile:1.15), small breasts, beautiful detailed eyes, wet, business attire, rain, white lace, floating hair NovaFrogStyle, topless, <lora:breastinclassBetter_v13:0.3> ","paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot,(ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.331), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), bad hands, missing fingers, extra digit, bad body,pubic"
,,
高潮表情,"((((((blush:1))))))(((Sweating)))((upper body))((frown))
 <lora:ahegaoRollingEyes_v1114:0.8>rolling_eyesahegao,((((ahegao awaitingtongue Highly intricate))))
(8k, best quality, masterpiece:1.2), (realistic, photo-realistic:1.37), ultra-detailed,beautiful detailed sky, (nose blush), beautiful detailed eyes, wet, business attire, rain, white lace, floating hair NovaFrogStyle",
女上," <lora:nvshang:1>, 1boy,squatting cowgirl position, vaginal, pov,",
吸奶,<lora:milkingMachine_v11:1> milking machine,
屌临逼,"(1girl, solo, 1boy, penis, 1girl, NemoNelly, imminent penetration, lying, on back, spread legs:1.5),,low tied hair, smile,half-closed eyes, ,dating, (heavy breathing:1.5) ,tears, crying, blush, wet, sweat, <lora:dadiao:1>",
屌挡逼,"beautiful, masterpiece, best quality, extremely detailed face, perfect lighting, (1girl, solo, 1boy, penis, 1girl, NemoNelly, imminent penetration, lying, on back, spread legs:1.5), (light brown cardigan),checkered_skirt,white beret,black sailor_shirt, ((skinny)), ((puffy eyes)),brown hair,medium hair,cowboy shot,medium breasts, swept bangs,walking,outdoors,sunshine,light_rays,fantasy,blurry_foreground,rococo,street,crowd,hair_flower,low tied hair, smile,half-closed eyes, ,dating, (heavy breathing:1.5) ,tears, crying, blush, wet, sweat,",
掰屁眼,"spread legs, from back, rear view, looking back,((bend over and pout own ass)), hands on own ass, grabbing own ass, ass stretch, ass spread, pussy spread, pussy stretch, <lora:grabbingOwnAss_v1Pruned:1.2> <lora:inniesBetterVaginas_v11:0.8>",
奶子撞玻璃,"breasts_on_glass:1.2 ，nipples,breast press, against glass, navel, completely nude, large breasts,  <lora:breastsOnGlass_v10:0.8>",
